Species,Biomass_Response_BIC,Sodium_Response_ BIC,Smith_and_Brown_Phylogney
Triglochin_bulbosa_subsp._bulbosa,Hump-shaped,Linear_increase,Triglochin_bulbosa_subsp._bulbosa
Triglochin_striata,Linear_decrease,Asymptotic_increase,Triglochin_striata
Narcissus_tazetta,Zero_slope,Linear_increase,Narcissus_tazetta
Oryza_sativa,Non-linear_decline_concave_upward,Linear_increase,Oryza_sativa
Lygeum_spartum,Non-linear_decline_convex_upward,Non_linear_increase,Lygeum_spartum
Triticum_monococcum,Zero_slope,Non_linear_increase,Triticum_monococcum
Triticum_turgidum,Hump-shaped,Sigmoidal_increase,Triticum_turgidum
Triticum_aestivum,Non-linear_decline_concave_upward,Linear_increase,Triticum_aestivum
Zea_mays,Non-linear_decline_convex_upward,Non_linear_increase,Zea_mays
Andropogon_greenwayi,Linear_decrease,Exponential_increase,Andropogon_greenwayi
Panicum_virgatum,Non-linear_decline_convex_upward,Hump-shaped,Panicum_virgatum
Phragmites_australis,Non-linear_decline_convex_upward,Asymptotic_increase,Phragmites_australis
Sporobolus_michauxianus,Non-linear_decline_convex_upward,Asymptotic_increase,Sporobolus_michauxianus
Sporobolus_kentrophyllus,Linear_decrease,Linear_increase,Sporobolus_kentrophyllus
Sporobolus_spicatus,Linear_decrease,Linear_increase,Sporobolus_spicatus
Sporobolus_ioclados,Linear_decrease,Linear_increase,Sporobolus_ioclados
Aeluropus_lagopoides,Linear_decrease,Hump-shaped,Aeluropus_lagopoides
Aeluropus_littoralis,Non-linear_decline_convex_upward,Hump-shaped,Aeluropus_littoralis
Limonium_latifolium,Non-linear_decline_convex_upward,Asymptotic_increase,Limonium_latifolium
Limoniastrum_guyonianum,Linear_decrease,Hump-shaped,Limoniastrum_guyonianum
Atriplex_torreyi_var._griffithsii,Hump-shaped,Exponential_increase,Atriplex_torreyi_var._griffithsii
Beta_vulgaris,Linear_decrease,Hump-shaped,Beta_vulgaris
Atriplex_canescens,Hump-shaped,Linear_increase,Atriplex_canescens
Atriplex_nummularia,Hump-shaped,Asymptotic_increase,Atriplex_nummularia
Atriplex_halimus,Hump-shaped,Non_linear_increase,Atriplex_halimus
Salsola_stocksii,Linear_increase,Linear_increase,Salsola_stocksii
Bassia_scoparia,Linear_decrease,Sigmoidal_increase,Bassia_scoparia
Suaeda_fruticosa,Hump-shaped,Exponential_increase,Suaeda_fruticosa
Suaeda_salsa,Hump-shaped,Asymptotic_increase,Suaeda_salsa
Salicornia_rubra,Linear_decrease,Exponential_increase,Salicornia_rubra
Portulaca_oleracea,Linear_decrease,Linear_increase,Portulaca_oleracea
Cornus_sericea,Non-linear_decline_convex_upward,Non_linear_increase,Cornus_sericea
Actinidia_chinensis,Linear_decrease,Hump-shaped,Actinidia_chinensis
Tripleurospermum_maritimum_subsp._inodorum,Hump-shaped,Sigmoidal_increase,Tripleurospermum_maritimum_subsp._inodorum
Helianthus_annuus,Linear_decrease,Exponential_increase,Helianthus_annuus
Solanum_nigrum_subsp._nigrum,Non-linear_decline_convex_upward,Sigmoidal_increase,Solanum_nigrum_subsp._nigrum
Solanum_lycopersicum,Linear_decrease,Hump-shaped,Solanum_lycopersicum
Solanum_scabrum,Linear_decrease,Linear_increase,Solanum_scabrum
Solanum_melongena,Linear_decrease,Asymptotic_increase,Solanum_melongena
Olea_europaea,Linear_decrease,Asymptotic_increase,Olea_europaea
